Date,Value
06/09/2016,2423294
06/10/2016,2423286
06/11/2016,2423279
06/12/2016,2423532
06/13/2016,2423799
06/14/2016,2424048
06/15/2016,2424264
06/16/2016,2424547
06/17/2016,2424537
06/18/2016,2424529
06/19/2016,2424737
06/20/2016,2424987
06/21/2016,2425058
06/22/2016,2425358
06/23/2016,2425628
06/24/2016,2425616
06/25/2016,2425606
06/26/2016,2425921
06/27/2016,2426217
06/28/2016,2426546
06/29/2016,2426791
06/30/2016,2427083
07/01/2016,2427074
07/02/2016,2427070
07/03/2016,2427371
07/04/2016,2427671
07/05/2016,2427670
07/06/2016,2427658
07/07/2016,2427647
07/08/2016,2427633
07/09/2016,2427626
07/10/2016,2428007
07/11/2016,2428365
07/12/2016,2428751
07/13/2016,2429126
07/14/2016,2429491
07/15/2016,2429484
07/16/2016,2429471
07/17/2016,2429799
07/18/2016,2430209
07/19/2016,2430555
07/20/2016,2430892
07/21/2016,2431241
07/22/2016,2431234
07/23/2016,2431225
07/24/2016,2431216
07/25/2016,2431661
07/26/2016,2432076
07/27/2016,2432471
07/28/2016,2432867
07/29/2016,2432856
07/30/2016,2432842
07/31/2016,2433254
08/01/2016,2433662
08/02/2016,2434048
08/03/2016,2434374
08/04/2016,2434744
08/05/2016,2434732
08/06/2016,2434723
08/07/2016,2435042
08/08/2016,2435386
08/09/2016,2435720
08/10/2016,2436035
08/11/2016,2436384
08/12/2016,2436371
08/13/2016,2436364
08/14/2016,2436682
08/15/2016,2437025
08/16/2016,2437327
08/17/2016,2437653
08/18/2016,2438020
08/19/2016,2438016
08/20/2016,2437998
08/21/2016,2438384
08/22/2016,2438767
08/23/2016,2439095
08/24/2016,2439450
08/25/2016,2439905
08/26/2016,2439889
08/27/2016,2439882
08/28/2016,2440342
08/29/2016,2440711
08/30/2016,2441061
08/31/2016,2441377
09/01/2016,2441740
09/02/2016,2441737
09/03/2016,2441729
09/04/2016,2442089
09/05/2016,2442481
09/06/2016,2442832
09/07/2016,2443200
09/08/2016,2443616
09/09/2016,2443608
09/10/2016,2443602
09/11/2016,2443599
09/12/2016,2443599
09/13/2016,2443598
09/14/2016,2443594
09/15/2016,2443590
09/16/2016,2443588
09/17/2016,2443584
09/18/2016,2444034
09/19/2016,2444495
09/20/2016,2444879
09/21/2016,2445226
09/22/2016,2445589
09/23/2016,2445588
09/24/2016,2445581
09/25/2016,2446020
09/26/2016,2446427
09/27/2016,2446806
09/28/2016,2447190
10/01/2016,2447606
10/02/2016,2447980
10/03/2016,2447979
10/04/2016,2448436
10/05/2016,2448825
10/06/2016,2449204
10/07/2016,2449203
10/08/2016,2449194
10/09/2016,2449592
10/10/2016,2449953
10/11/2016,2450289
10/12/2016,2450607
10/13/2016,2450943
10/14/2016,2450934
10/15/2016,2450926
10/16/2016,2451285
10/17/2016,2451574
10/18/2016,2451882
10/19/2016,2452200
10/20/2016,2452520
10/21/2016,2452518
10/22/2016,2452509
10/23/2016,2452836
10/24/2016,2453151
10/25/2016,2453524
10/26/2016,2453879
10/27/2016,2454260
10/28/2016,2454254
10/29/2016,2454506
10/30/2016,2454614
10/31/2016,2454943
11/01/2016,2455283
11/02/2016,2455577
11/03/2016,2455916
11/04/2016,2455914
11/05/2016,2455908
11/06/2016,2456264
11/07/2016,2456622
11/08/2016,2456949
11/09/2016,2457249
11/10/2016,2457590
11/11/2016,2457585
11/12/2016,2457576
11/13/2016,2457932
11/14/2016,2458200
11/15/2016,2458506
11/16/2016,2458776
11/17/2016,2459106
11/18/2016,2459101
11/19/2016,2459098
11/20/2016,2459414
11/21/2016,2459526
11/22/2016,2460058
11/23/2016,2460051
11/24/2016,2460045
11/25/2016,2460040
11/26/2016,2460033
11/27/2016,2460506
11/28/2016,2460960
11/29/2016,2461386
11/30/2016,2461744
12/01/2016,2462114
12/02/2016,2462110
12/03/2016,2462107
12/04/2016,2462500
12/05/2016,2462844
12/06/2016,2463150
12/07/2016,2463448
12/08/2016,2463778
12/09/2016,2463774
12/10/2016,2463764
12/11/2016,2464166
12/12/2016,2464164
12/13/2016,2464486
12/14/2016,2464762
12/15/2016,2465133
12/16/2016,2465132
12/17/2016,2465130
12/18/2016,2465465
12/19/2016,2465768
12/20/2016,2466036
12/21/2016,2466314
12/22/2016,2466644
12/23/2016,2466629
12/24/2016,2466622
12/25/2016,2466965
12/26/2016,2467354
12/27/2016,2467712
12/28/2016,2468042
12/29/2016,2468412
12/30/2016,2468407
12/31/2016,2468398
01/01/2017,2468763
01/02/2017,2469107
01/03/2017,2469451
01/04/2017,2469773
01/05/2017,2470092
01/06/2017,2470079
01/07/2017,2470051
01/08/2017,2470027
01/09/2017,2470522
01/10/2017,2470861
01/11/2017,2471122
01/12/2017,2471448
01/13/2017,2471445
01/14/2017,2471439
